Energy_eV,Experimental_Abs,Total_Model,Vib_0-0,Vib_0-1,Vib_0-2,Vib_0-3,Vib_0-4
2.649516035982137030e+00,1.124110374912915267e-01,9.991479501207103323e-04,3.358254665179841510e-27,5.667825611397439532e-18,4.687513734561957764e-11,2.535668711374677219e-06,9.966122345341924330e-04
2.645107617483307916e+00,1.140702327031794944e-01,1.138516580863007440e-03,6.189764917571905773e-27,9.262478271449428501e-18,6.792110472712867191e-11,3.257672123161367346e-06,1.135258840818732014e-03
2.640713844581212832e+00,1.154971428618661727e-01,1.292798521744871650e-03,1.135023638328380518e-26,1.506543692434944599e-17,9.799057695921198830e-11,4.168820469555628451e-06,1.288629603284724163e-03
2.636334644413734107e+00,1.165506578268519500e-01,1.462920295862758704e-03,2.070730910449128457e-26,2.438916825285217138e-17,1.407658585062317389e-10,5.314044300044142743e-06,1.457606110796831958e-03
2.631969944601277867e+00,1.170231944968435772e-01,1.649777264507073637e-03,3.758789969993448461e-26,3.929974597081164385e-17,2.013537420533009691e-10,6.747740241187408122e-06,1.643029322912104668e-03
2.627619673242779008e+00,1.187191157511922474e-01,1.854220668615489537e-03,6.788839617088238748e-26,6.303425193867837757e-17,2.868053111713395591e-10,8.535474230859280796e-06,1.845684907579255886e-03
2.623283758911760355e+00,1.199419387954400867e-01,2.077044265450122499e-03,1.220066323917610715e-25,1.006407879576747016e-16,4.068135392646624562e-10,1.075592673154932150e-05,2.066287931904933414e-03
2.618962130652417120e+00,1.208334355953570305e-01,2.318970798715151802e-03,2.181870049841562349e-25,1.599551862383326919e-16,5.746452191007657338e-10,1.350310112017332685e-05,2.305467122949599566e-03
2.614654717975751108e+00,1.219255844260217769e-01,2.580638567485465853e-03,3.882834360640062403e-25,2.530845611159110303e-16,8.083802785082230480e-10,1.688881569221041288e-05,2.563748943412723618e-03
2.610361450855735566e+00,1.233403353814749442e-01,2.862588382167755453e-03,6.876385708752464890e-25,3.986502293454923003e-16,1.132552422428799156e-09,2.104549830827581990e-05,2.841541751306658758e-03
